scenario,campus,slot_util_mean,slot_util_median,slot_util_max
central_only,Central,0.06137344004696239,0.01293103448275862,0.47413793103448276
central_plus_both,Central,0.06128648427157537,0.008620689655172414,0.47413793103448276
central_plus_both,Lauriston,0.24558032282859338,0.16666666666666666,0.6666666666666666
central_plus_both,New College,0.3013311451495259,0.25,1.0
central_plus_both_shift120,Central,0.0567076767907437,0.008620689655172414,0.47413793103448276
central_plus_both_shift120,Lauriston,0.2454808387563268,0.16666666666666666,0.6666666666666666
central_plus_both_shift120,New College,0.2944636678200692,0.25,1.0
central_plus_both_shift120_crossday,Central,0.05623139609794176,0.008620689655172414,0.47413793103448276
central_plus_both_shift120_crossday,Lauriston,0.24654545454545454,0.16666666666666666,0.6666666666666666
central_plus_both_shift120_crossday,New College,0.2945689655172414,0.25,1.0
central_plus_both_shift60,Central,0.05818505338078292,0.008620689655172414,0.47413793103448276
central_plus_both_shift60,Lauriston,0.24581486952240275,0.16666666666666666,0.6666666666666666
central_plus_both_shift60,New College,0.296293042867182,0.25,1.0
central_plus_both_shift60_crossday,Central,0.05687551115506781,0.008620689655172414,0.47413793103448276
central_plus_both_shift60_crossday,Lauriston,0.24568540433925046,0.16666666666666666,0.6666666666666666
central_plus_both_shift60_crossday,New College,0.2917517006802721,0.25,1.0
central_plus_lauriston,Central,0.06136628609240917,0.008620689655172414,0.47413793103448276
central_plus_lauriston,Lauriston,0.24633770239013106,0.16666666666666666,0.6666666666666666
central_plus_new_college,Central,0.0614348980235492,0.01293103448275862,0.47413793103448276
central_plus_new_college,New College,0.30316824471959214,0.25,1.0
